,Country,City,Confirmed,Recovered,Deaths,Latitude,Longtitude
180,Cambodia,Preah Vihear Province,2,0,0,13.651153650000001,105.25819111658416
181,Canada,Quebec,21838,4484,1243,52.4760892,-71.8258668
182,Canada,Ontario,12879,6680,713,50.000678,-86.000977
183,Canada,Alberta,3720,1357,67,55.001251,-115.002136
184,Canada,British Columbia,1824,1092,94,55.001251,-125.002441
185,Canada,Nova Scotia,827,358,16,45.1960403,-63.1653789
186,Canada,Saskatchewan,331,261,4,55.5321257,-106.1412243
187,Canada,Manitoba,263,174,6,55.001251,-97.001038
188,Canada,Newfoundland and Labrador,256,205,3,53.8217327,-61.2295532
189,Canada,New Brunswick,118,104,0,46.500283,-66.750183
190,Canada,Prince Edward Island,26,24,0,46.503545349999996,-63.595517139914485
191,Canada,Yukon,11,8,0,63.000147,-136.002502
192,Canada,Northwest Territories,5,5,0,65.0000004,-118.0
193,Canada,Nunavut,0,0,0,70.0000073,-90.0
194,Chile,Santiago Metropolitan Region,6434,0,85,-33.5739341,-70.6205518
195,Chile,Araucania,1142,0,26,-38.6710116,-72.2564576
196,Chile,Ñuble,708,0,13,-36.6331577,-71.9384821
197,Chile,Bio Bio,675,0,5,-37.3391407,-72.4106825
198,Chile,Magallanes and Chilean Antarctica,615,0,7,-53.3527518,-71.5547782
199,Chile,Los Lagos,454,0,7,-42.300844,-73.105387
200,Chile,Valparaíso,429,0,7,-33.0458456,-71.6196749
201,Chile,Antofagasta,340,0,2,-23.6041314,-69.0842783
202,Chile,Maule,333,0,10,-35.5972284,-71.48868
203,Chile,Arica y Parinacota,210,0,2,-18.5918514,-69.7586083
204,Chile,Los Ríos,173,0,3,-39.9742911,-72.667478
205,Chile,Tarapacá,128,0,0,-20.1636672,-69.5463448
206,Chile,O'Higgins,76,0,1,-48.47302585,-72.84749314466745
207,Chile,Coquimbo,70,0,0,-30.7546652,-70.9005536
208,Chile,Atacama,18,0,0,-27.5571783,-70.0156882
209,Chile,Aysén,7,0,0,-46.1434629,-74.36488694169807
210,China,Hubei,67803,64014,3212,31.15172525,112.87832224656043
211,China,Guangdong Province,1532,1395,8,24.7443043,113.0814482
212,China,Henan,1276,1252,22,34.0000001,113.9999999
213,China,Zhejiang,1264,1230,1,29.0000001,119.9999999
214,China,Hunan,1019,1014,4,27.9995878,112.009538
215,China,Anhui,990,984,6,32.0,117.0
216,China,Jiangxi,937,935,1,28.0,116.0
217,China,Shandong,780,755,7,36.0000001,118.9999999
